Title,Date,Link,Content
Eleven ships break down in wake of latest Houston bunker contamination case,"July 11, 2023",https://splash247.com/eleven-ships-break-down-in-wake-of-latest-houston-bunker-contamination-case/,"Houston has another bunkering problem. Fuel checker VPS is reporting a bunker contamination case at the Texan port, the largest bunkering hub in the Americas.
VPS detected the presence of dicyclopentadiene (DCPD) and associated isomers at significantly high levels in VLSFO bunker fuel deliveries in Houston from a single supplier for three months from March to May this year.
DCPDs are unsaturated chemical compounds which can make bunker fuel more sticky and viscous. Thus far, 11 vessels have lost power and propulsion from the off-spec fuel.
Multiple, multi-million dollar court cases were launched from the last big bunker contamination case in Houston three years ago."
LNG bunker costs now competitive,"June 1, 2023",https://splash247.com/lng-bunker-costs-now-competitive/,"For the first time this year there is an economic case for owners of dual-fuel LNG ships to pay for some gas in their tanks. 
LNG has been the number one alternative fuel for ship orders for a number of years. Class society DNV’s latest estimates show there are 904 confirmed LNG-fuelled ships, including vessels on order. 
However, for much of the 2020s the price of LNG has been prohibitively high, meaning the vast majority of dual-fuel ships have been trading using traditional bunker fuel. 
Norwegian broker Lorentzen & Co noted this week that LNG used as bunkers is now “radically lower priced” than compliant fuel oil and on a par with heavy fuel oil. 
According to Ship&Bunker, LNG prices in Rotterdam are at $440 per ton, for the same energy equivalency as IFO380 bunker fuel. VLSFO in the same area stands at $531 per ton and HSFO at $431.50 per ton."
Seaspan ammonia-powered boxship design unveiled,"May 24, 2023",https://splash247.com/seaspan-ammonia-powered-boxship-design-unveiled/,"Working with Seaspan, the world’s largest boxship lessor, the Mærsk Mc-Kinney Møller Center for Zero Carbon Shipping yesterday revealed the design of an ammonia-powered 15,000 teu container vessel.
The ship measures 350 m in length between perpendiculars and 53.6 m in breadth. Its design incorporates a dual-fuel engine that runs on very low sulphur fuel oil (VLSFO) and ammonia.
The unit sports an 11,600 cu m non-pressurised ammonia type B tank. It can run at 16 knots and travel 12,000 nautical miles, while the extended endurance of fuel gives it 18,500 nautical miles.
The project is connected to the SABRE Consortium, focusing on developing and demonstrating an ammonia supply chain in Singapore.
The International Energy Agency (IEA) is projecting ammonia will account for around 45% of the demand for marine fuels in 2050.
Last week, Mediterranean Shipping Company (MSC), the world’s largest containerline, tapped class society Lloyd’s Register, German engine manufacturer MAN Energy Solutions and Shanghai Merchant Ship Design & Research Institute (SDARI) for a design for the ammonia dual-fuel operation of a future containership."
Maritime CEO Forum: Crystal balling ships in 2030,"April 27, 2023",https://splash247.com/maritime-ceo-forum-crystal-balling-ships-in-2030/,"A shipowner, ship manager, class society, propulsion specialist, and technology provider led discussions this week at the Fullerton Hotel in Singapore for the Maritime CEO Forum to examine what ships will be coming out of yards at the start of the new decade.
Kicking off the session on how the global merchant fleet will look like in terms of propulsion, nuclear propulsion proponent Mikal Bøe, chairman and CEO of Core Power predicted that in 2030 the world will continue to complain that we’re not making much progress, that emissions will go up by a lot compared to today and that there will be no large commercial zero-emission ships on a well-to-wake basis with 75% of ships running on VLSFO, 20% on LNG and the remaining 5% on methanol as an additive to VLSFO.
David Barrow, vice president, of South East Asia, Bureau Veritas Marine & Offshore, told the audience it will be a mixture of fuels with carbon capture battery hybrids and even nuclear as an option. “The technology is there”, Barrow said, but noting that: “The issue with nuclear is you’ve got a whole different array of stakeholders to deal with.”
There are so many things you need to take into account what is going to be the leading fuel, Barrow said, highlighting pillars such as technology, policy and regulation, social aspects, and people aspect.
Susana Germino, general manager of decarbonisation and environmental compliance at Swire Shipping and Swire Bulk, does not see any major changes in ships by 2030 but stated that by that time they’d be more flexible with voyage optimisation, carbon capture and dual-fuel technology and also much more connected, pointing to data sharing, which today’s industry is lacking.
Germino also highlighted the energy efficiency technologies and stressed that when it comes to dual-fuel technology, “it is not about the fuel, it will be a multi-fuel industry.”
“Everything will be specific to the geographic regions where you want to operate and where technology and fuel is going to be available. If you need to use, let’s say, ammonia in 2040 and you’ll only have it in the Atlantic, you’re not going to have your vessel working in the Pacific,” she said.
In terms of nuclear, Germino added that she does not see ships moved by nuclear power but being absolutely necessary for the production of green fuels. “There is not enough green hydrogen for us and for other industries.” “I don’t expect any fantastically futuristic vessels until 2040,” she concluded, with the hope that Swire might at least have dual-fuel technology by 2030.
Ships in the near future will be a lot more connected. “I believe that this is something that is going to happen very easily and very fast. “The technology is there, it is not that we need to discover anything or invest. It is cheap, it is easy, anybody can connect the vessel,” said Eleni Polychronopoulou, CEO of METIS Cyberspace Technology who envisions north of 50% of ships with good connectivity onboard by 2030.
Commenting on the cost of investing in the new tech, Polychronopoulou added that “It is nothing compared to what is coming, the visibility that you get, the fact that you know what is happening onboard the vessel, especially with the lack of skilled crew. It is very important that you have full visibility of the vessel, to know exactly what is happening, when and why. You can do an easy root cause analysis with all this data, which would be very difficult otherwise.”
Rajesh Unni, CEO of Synergy Marine Group said the Singapore-based shipmanager has been working on several propulsion and decarbonisation options, including LNG, methanol, carbon capture, what to do with the captured carbon onboard, and batteries. Synergy is also heavily invested in collecting data from ships to improve efficiencies, but Unni said he doubts that would bring behavioral changes. “If all work onboard will be about collecting data, then, in my opinion, we create a faster caterpillar and not a butterfly,” he said, adding: The question is what to do with that data. You need to give people insights that help them change the way they behave and act. Only when that happens can you expect people to change. So, will shipowners or anybody else, even the ship’s staff, be happy to have visibility and data? Absolutely yes, but it is only when you turn that into insights.”
In terms of ship design by 2030, Unni sees wind-assisted propulsion and drag-reduction technologies coming.
Speaking from the floor, Kris Kosmala, a partner at Click & Connect and Splash columnist, said that for the ships of the future in 2030 to materialise, you actually have to have people ordering those ships.
“If I’m waiting five years to get a fully loaded green ship with the technologies and fuel that we know today, well then we are looking at 2029,” Kosmala pointed out.
“If there is no orders being placed for it, then the ship by 2030 is going to look pretty much like the ship today. It is still going to operate on bunker and is still going to carry a very sophisticated scrubber,” Kosmala said.
While bringing the session to an end, Swire’s Germino noted: “There are no zero-emission fuels; there are none. Even with nuclear, unless it is used on the ship, there will be some sort of emission associated with it. So, the only zero-emission ship that will exist in 2050 is a sailing ship without any engine.”
Further reports from the Maritime CEO Forum will be carried by Splash in the coming days. The next event in the series takes place at the Monaco Yacht Club in October.
"
Fuel magic and shipping’s third revolution,"April 24, 2023",https://splash247.com/fuel-magic-and-shippings-third-revolution/,"This newspaper told us a week ago that according to DNV there are 106 methanol-fuelled ships under construction or on order, of which 68 are containerships. I’ll amend that to dual-fuelled ships because not one shipowner is proposing to rely entirely on something other than very low sulphur heavy fuel oil to propel a ship.
There are slightly more LNG – and – VLSFO-fuelled ships than there are methanol – and – VLSFO – fuelled ships on order and under construction; there are fewer ammonia – and – VLSFO-fuelled ships on order and under construction and there are a couple of battery-powered ships and no nuclear ships on order and under construction. That’s it. Oh, there is a wooden sailing ship, also.
This tells us that there are many people who don’t want to decide about the fuel of the future, and that absolutely everybody wants to continue using heavy fuel oil. Anyone from outside the shipping trade might start wondering about mountains going into labour and giving birth to mice, to quote a Roman poet, because after years of wittering on about it we have, as the merchant shipping industry, done almost nothing to move ourselves off heavy fuel oil. Maersk tells us that it will have the first ‘carbon neutral’ containership, now being fitted out, in service by the summer.
Readers will have noted the calculation put forward by Harilaos Psaraftis of the Technical University of Denmark in this paper on April 4 under the title ‘The risks of regulatory complexity’ which in turn refers to an article by Sam Chambers on March 30 titled ‘Owners advised on new plays and pools in wake of EU carbon pricing regulations’, which discusses a paper put out by Lloyds Register and Ahti Consulting.
I suspect, gentle reader, that your reactions will be much like mine; “We have got to bestir ourselves and understand some rather difficult regulations if we are not going to lose more money than we have to, this isn’t going to be much fun, and perhaps that is what those clever folk in the Blue Building in Copenhagen are up to!”
Well, we can thank Splash for putting most of what we may need to know about the fuel regulatory aspects of the operation of ships into and out of the ports of the European Union in the years to come in one place. Note – this is just Europe. Other places may differ.
Incidentally, if you want to stem methanol for bunkers in the very European, environmentally aware, port of Rotterdam, you can do so. On 14 days’ notice. And that’s not green methanol; that’s the everyday stuff. I did spend a little time reading about green methanol and I found a three-year-old item in which a very well-known German industrial and chemical company announced that it was able to produce 10 litres of green methanol, per hour. I’m sure that Maersk and its friends in Danish shipping circles (that’s everybody in Danish shipping circles) have another source of green methanol, but if it were abundant, they would be selling it to the rest of us.
This is not the first time that the merchant shipping business has had to think hard about what ships and shipping are going to have to be like, in future. Between 1860 and 1880, ships changed from wooden sailing ships built from local trees on any convenient beach, to iron and steel triple expansion screw steamships, built in expensively equipped shipyards. Between 1960 and 1980 general cargo ship owners tried palletisation, tried roll-on, roll-off, tried Lighter Aboard Ship and finally concluded that containers were the answer.
There are things to think about here. Only two or three of the shipowners who dominated the shipping scene at the start of each of these revolutions was still around at the end of each of them, and in both cases the right answer was much the most capital intensive. We are now confronting revolution number three. The first two involved things that you could walk up to and pat. This one involves things we cannot see; the air we breathe and man-made regulations. We are going from a cheap, safe, fuel to one of several expensive and dangerous fuels.
Scared, yet?"
Maersk unveils video of keenly awaited methanol-fuelled ship,"April 18, 2023",https://splash247.com/maersk-unveils-video-of-keenly-awaited-methanol-fuelled-ship/,"Maersk has unveiled a video of its keenly awaited 2,000 teu, dual-fuel ship, which can run on either VLSFO or methanol, a landmark ship that has since opened the floodgates to many more methanol vessels being contracted at yards across Asia.
The ship was ordered two years ago and is due for delivery from Hyundai Mipo Dockyard in a couple of months for deployment in the Baltic.
The ship, emblazoned with ‘All the way to zero’ across its hull, has now moved from the drydock into the water for the first time.
“The launching was successfully completed at Hyundai Mipo Dockyard and the construction is continuing,” commented Henrik Ekmann, head of newbuilding and retrofit at Maersk, adding: “Launching these mega structures takes precision and care, extensive product and design development from a large number of key suppliers and driven forward by our procurement and fleet technology teams.”
Maersk also has a series of 16,000 teu methanol dual-fuelled ships under construction in South Korea, and other liners have followed its lead.
It is now not just containerlines going for methanol as the preferred alternative future fuel, dry bulk and tanker orders are also in the mix as are a host of leading names in the cruise business.
Analysis from class society DNV shows methanol was the second most popular alternative fuel choice for newbuild orders last year after LNG. Of the 106 methanol-fuelled ships on order by the end of last month, as tracked by DNV, 68 of them are for containerships.
"
Maersk shows off its new methanol dual-fuelled ship,"March 21, 2023",https://splash247.com/maersk-shows-off-its-new-methanol-dual-fuelled-ship/,"The next generation of alternatively fuelled ships look remarkably like existing vessels if images released today by Danish carrier Maersk are anything to go by.
Maersk today unveiled images of its soon-to-launch 2,000 teu, dual fuel ship, which can run on either VLSFO or methanol, a landmark ship that has since opened the floodgates to many more methanol vessels being contracted at yards across Asia.
The ship was ordered two years ago and is due for delivery from Hyundai Mipo Dockyard this year, likely for deployment in the Baltic.
“I am very happy with the progress we are making on the project. We have now completed all key design-related milestones and production is progressing at full speed with delivery expected during summer. It has been a huge project, but we have succeeded not least due to great collaboration internally in Maersk and with our external partners,” said Ola Jakobsen, head of fleet technology at Maersk. 
Maersk also has a series of 16,000 teu methanol dual-fuelled ships under construction in South Korea, and other liners have followed its lead.
It is now not just containerlines going for methanol as the preferred alternative future fuel, dry bulk and tanker orders are also in the mix as are a host of leading names in the cruise business.
MAN Energy Solutions, one of the key engine suppliers for this type of propulsion, said last month that the interest in methanol as a fuel has surged and represents more than 30% of all its current, open pipeline projects across a broad range of vessel segments.
Analysis from class society DNV shows methanol was the second most popular alternative fuel choice for newbuild orders last year after LNG, with 35 ships ordered, bringing the total count to 82 ships. That tally has soared to cross the 100 mark this year.
We are thrilled to unveil the design of our first green fuel powered vessel . The build is on and it’s soon to be delivered by Hyundai Mipo Dockyard. Our feeder vessel has a dual-fuel engine and will be able to operate on green methanol. #Maersk #decarbonisation #alltheway pic.twitter.com/XMyP8cvOWd
"
Number of scrubber-equipped vessels to grow despite drop in fittings last year,"March 15, 2023",https://splash247.com/number-of-scrubber-equipped-vessels-to-grow-despite-drop-in-fittings-last-year/,"Despite a significant drop in the number of installations, the share of scrubber-fitted vessels is expected to increase in the coming years.
BIMCO reported 399 onboard installations last year, a 24% decrease year on year, with scrubbers now installed on 13% of bulkers, tankers, and containerships. This percentage is set to rise, as 17% of ships currently on the yard’s books are expected to have scrubbers installed.
Installing scrubbers allows shipowners to comply with current regulations while benefitting from the price differential between high sulphur fuel oil and very low sulphur fuel oil (VLSFO). But BIMCO’s chief shipping analyst, Niels Rasmussen, noted that the price premium for VLSFO has turned out to be less than initially estimated.
“The lower-than-expected VLSFO premium has likely discouraged owners from installing scrubbers, particularly on smaller ships with lower bunker consumption and lower savings as a result,” Rasmussen said.
Since January 2020, the premium for VLSFO has averaged $149 per tonne, being as low as $50 per tonne for an extended period during 2020 and as high as $400 per tonne last June and July. “The higher the VLSFO premium, the more attractive the investment in a scrubber is because the payback period is shorter,” Rasmussen said.
In the long term, however, Rasmussen estimated the use of scrubbers to cut sulphur emissions may reduce “as decarbonisation efforts will increase the use of alternative fuels that are sulphur compliant”.
"
The future fuel race is over for this decade,"February 22, 2023",https://splash247.com/the-future-fuel-race-is-over-for-this-decade/,"The problem with writing editorials is that they can come to look extremely misplaced predictions rather quickly. Not that that has ever stopped me before, so here goes!
I am calling the future fuel race over for this decade - methanol is the - again I am wary of writing the next word for how it might be viewed in posterity - clear winner.
The 2030s will see other forms of propulsion emerge, likely ammonia leading the way, but for the coming few years I really cannot see beyond methanol.
...
 "
World’s first biofuel bunker price index launches,"January 31, 2023",https://splash247.com/worlds-first-biofuel-bunker-price-index-launches/,"New fuel mixes entering the shipping arena require pricing visibility to gain traction. Argus, a commodity price reporting agency, has today launched the world’s first independently assessed price for ship fuel that includes a biofuel component. The new B24 daily assessment reflects the market value of bunkers made up of 24% used cooking oil methyl ester (UCOME) and 76% very-low sulphur fuel oil (VLSFO), delivered-onboard in Singapore.
In Singapore, the world’s biggest bunkering hub, the B24 market is growing rapidly. Sales in 2022 were more than 140,000 tonnes, with trade accelerating over the last three months of the year.
Argus Media chairman and chief executive Adrian Binks said: “The maritime industry is embracing the need to evolve and reduce greenhouse gas emissions. Our new B24 assessments are the world’s first biofuel bunker prices and bring vital transparency to this new and emerging market, which will play an increasingly important role while the industry transitions to develop cost-effective zero carbon solutions.”
With shipping facing an array of alternative fuel choices to choose from, data companies are rolling out many new price indices. Platts, for instance, has been covering methanol and ammonia prices since for the last 15 months."
